word,weight,number_of_words
berperang mulut,-3,2
berperingkat,4,1
berpijar,-3,1
berpilin,3,1
berpiuh,3,1
berpola,4,1
berpoleng,-3,1
berprakarsa,3,1
berprasangka,1,1
berprasangka,-3,1
berproses,1,1
berproses,-3,1
berpuaka,-3,1
berpuak-puak,-4,1
berpucuk,-4,1
berpulas,3,1
berpunya,4,1
berpura-pura,-4,1
berpusu,-3,1
berputar-putar,-4,1
berputih tulang,-2,2
berputra,3,1
bersaba,-3,1
bersabung nyawa,-3,2
bersagang,4,1
bersahabat,2,1
bersahaja,5,1
bersaji,4,1
bersalah,-4,1
bersalahan,-4,1
bersalin,3,1
bersama,3,1
bersamamu,3,1
bersambang,4,1
bersandarkan,-4,1
bersanding,-5,1
bersangga,4,1
bersanggama,5,1
bersanggama,-2,1
bersanggit,-5,1
bersangkal,-5,1
bersangkut,1,1
bersangkut,-4,1
bersara,-3,1
bersatu,-1,1
bersauh,4,1
bersaur,3,1
bersayap,4,1
bersebaran,-5,1
bersebelahan,-4,1
berseberangan,-3,1
bersedia,1,1
bersedia,-3,1
bersedih,-5,1
bersekolah,3,1
bersekongkol,-4,1
bersekutu,-5,1
berselang,-3,1
berselawat,3,1
berselawat,-3,1
berselingkuh,-5,1
berselisih,-5,1
berseloroh,-4,1
berseluk,3,1
bersemangat,4,1
bersemangat,-1,1
bersemayam,4,1
bersemayam,-3,1
bersembahyang,5,1
bersembahyang,-3,1
bersemi,3,1
bersempena,-3,1
bersempuras,-3,1
bersenandung,4,1
bersenda gurau,-4,2
bersendel,4,1
bersendeng,4,1
bersender,4,1
bersendi,-4,1
bersendikan,-4,1
bersengaja,-2,1
bersengat,5,1
bersengketa,-4,1
berseni,4,1
bersentuh,-5,1
bersepai,-5,1
berserah,2,1
berserah,-4,1
berserakan,-5,1
berseri,4,1
berserikat,-3,1
bersesak-sesak,-3,1
bersesal,1,1
bersesal,-4,1
bersesuaian,3,1
berseteru,-4,1
bersetuju,3,1
bersiap,1,1
bersikukuh,1,1
bersikukuh,-4,1
bersila,2,1
bersila,-4,1
bersilih,-3,1
bersimbah,-3,1
bersimpati,4,1
bersimpuh,3,1
